,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
20,317806,Liverpool,Aston Villa,08/24/2009 20:00:00,3,3,16,0,1-3,2,1,0,1.44,4.2,8,1.4,4,7.25,1.42,4,8,1.4,4.3,7.5,1.4,4.5,88,82,81,82,82,79,76,79,30,24.4,24,336.6,11.22,31,25.5,13,160.4,5.17
21,317807,Sunderland,Blackburn,08/22/2009 15:00:00,11,3,19,0,2-1,2,1,0,2.1,3.25,3.75,2,3.2,3.45,2,3.25,3.75,2.1,3.25,3.4,2.1,3.6,78,77,74,75,75,75,75,75,38,24.5,26,131.7,3.47,35,25.3,29,90.3,2.58
22,317808,West Ham,Tottenham,08/23/2009 13:30:00,4,3,1,6,1-2,2,1,0,3.1,3.25,2.38,2.85,3.25,2.25,3,3.25,2.3,3.05,3.2,2.25,3,3.25,76,76,75,76,81,78,78,79,35,23.8,20,118.3,3.38,41,23.3,20,249.2,6.08
23,317809,Man City,Wolves,08/22/2009 15:00:00,7,3,13,3,1-0,1,2,0,1.33,4.5,12,1.25,4.85,10.5,1.33,4.5,10,1.35,4.5,8.5,1.33,5,84,80,80,81,75,72,69,72,40,24.1,24,314.9,7.87,37,24.1,19,59.7,1.61
24,317810,Fulham,Chelsea,08/23/2009 16:00:00,6,3,2,3,0-2,1,2,0,6.5,3.8,1.57,6.25,3.6,1.5,6.5,3.6,1.55,6,3.7,1.55,7,3.75,76,76,77,76,85,84,84,83,42,25.3,28,92.8,2.21,33,25.5,24,443.9,13.45
25,317811,Birmingham,Stoke,08/22/2009 15:00:00,9,3,14,3,0-0,2,2,0,2.3,3.2,3.25,2.1,3.2,3.2,2.25,3.25,3.1,2.2,3.2,3.2,2.25,3.25,73,75,71,74,76,72,75,73,36,25.5,18,63.5,1.76,37,25.9,18,76.8,2.08
26,317812,Hull,Bolton,08/22/2009 15:00:00,18,0,15,0,1-0,1,2,0,2.6,3.25,2.8,2.35,3.1,2.85,2.5,3.2,2.75,2.3,3.25,2.95,2.5,3.25,70,72,73,73,77,75,73,75,37,26,23,75.65,2.04,32,25.3,18,85.33,2.67
27,317813,Burnley,Everton,08/23/2009 15:00:00,12,3,18,0,1-0,2,1,0,3.4,3.3,2.2,3.1,3.2,2.15,3.3,3.25,2.15,3,3.2,2.3,3.2,3.2,75,72,70,72,80,77,79,79,33,25,20,38.45,1.17,42,23.1,23,221.55,5.28
28,317814,Wigan,Man Utd,08/22/2009 15:00:00,7,3,10,3,0-5,2,2,0,6.5,4,1.53,6,3.6,1.52,6.5,3.75,1.53,5.6,3.6,1.6,7,4,74,74,74,74,86,81,84,82,35,25.4,27,73.9,2.11,33,25,22,362.95,11
29,317815,Man Utd,Arsenal,08/29/2009 17:15:00,4,6,3,6,2-1,3,2,0,2.2,3.3,3.5,2.05,3.3,3.2,2.1,3.25,3.4,2,3.3,3.6,2,3,86,81,84,82,85,82,82,81,33,25,22,362.95,11,45,21.7,31,281,6.24
