,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,1190174,Arsenal,Leicester,08/11/2017 19:45:00,,,,,4-3,0.0,0.0,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5,1.44,4.4,6.5,1.53,4.55,6.85,45,23.8,27,633.9,14.09,34,25.5,21,252.1,7.41,84,80,81,82,79,79,76,78
1,1190182,Watford,Liverpool,08/12/2017 12:30:00,,,,,3-3,0.0,0.0,6.0,4.2,1.62,6.0,4.2,1.55,5.5,4.0,1.6,5.8,4.0,1.57,5.74,4.29,1.63,37,25.9,27,167.3,4.52,35,24.0,21,495.0,14.14,78,77,75,77,85,81,80,81
2,1190176,Chelsea,Burnley,08/12/2017 15:00:00,,,,,2-3,0.0,0.0,1.25,6.5,15.0,1.22,6.5,12.5,1.22,6.2,13.5,1.25,5.75,15.0,1.26,6.3,15.25,46,23.7,33,649.65,14.12,30,26.8,16,96.85,3.23,84,86,82,83,76,77,78,77
3,1190177,Crystal Palace,Huddersfield,08/12/2017 15:00:00,,,,,0-3,0.0,0.0,1.83,3.6,5.0,1.8,3.5,4.75,1.85,3.5,4.3,1.8,3.4,4.6,1.83,3.58,5.11,41,24.8,22,194.43,4.74,35,24.6,18,64.4,1.84,79,76,76,76,75,73,74,74
4,1190178,Everton,Stoke,08/12/2017 15:00:00,,,,,1-0,0.0,0.0,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5.0,1.67,3.6,5.25,1.7,3.83,5.81,48,23.9,27,346.75,7.22,35,25.2,27,177.8,5.08,77,80,79,79,75,76,76,76
5,1190181,Southampton,Swansea,08/12/2017 15:00:00,,,,,0-0,0.0,0.0,1.62,4.0,6.5,1.57,4.0,6.0,1.65,3.8,5.3,1.6,3.7,6.0,1.64,3.94,6.35,29,24.9,16,247.5,8.53,36,25.3,32,171.34,4.76,76,77,75,76,76,75,74,75
6,1190183,West Brom,Bournemouth,08/12/2017 15:00:00,,,,,1-0,0.0,0.0,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15,2.4,3.1,3.0,2.46,3.25,3.26,33,25.5,17,165.5,5.02,35,25.0,13,116.1,3.32,79,75,77,76,76,75,75,76
7,1190175,Brighton,Man City,08/12/2017 17:30:00,,,,,0-2,0.0,0.0,11.0,5.5,1.33,11.0,5.25,1.3,8.0,5.3,1.35,10.0,5.0,1.3,10.95,5.55,1.34,39,25.8,26,106.75,2.74,32,24.1,21,616.35,19.26,74,76,74,75,85,87,83,84
8,1190180,Newcastle,Tottenham,08/13/2017 13:30:00,,,,,0-2,0.0,0.0,5.5,4.0,1.7,5.25,3.8,1.67,4.8,3.6,1.75,5.0,3.8,1.67,5.35,4.0,1.71,37,24.4,24,167.28,4.52,34,23.8,22,535.35,15.75,76,75,76,75,85,83,82,83
9,1190179,Man Utd,West Ham,08/13/2017 16:00:00,,,,,4-0,0.0,0.0,1.3,5.75,12.0,1.28,5.5,11.0,1.33,5.3,8.7,1.33,5.0,10.0,1.33,5.68,10.85,35,25.1,22,645.1,18.43,41,24.3,23,264.85,6.46,85,83,81,83,79,76,74,77
10,1190459,Southampton,West Ham,08/19/2017 15:00:00,11.0,1.0,20.0,0.0,3-2,1.0,1.0,1.75,3.8,5.25,1.7,3.8,5.0,1.75,3.6,4.8,1.67,3.6,4.75,1.71,3.96,5.43,29,24.9,16,247.5,8.53,41,24.3,23,264.85,6.46,76,77,75,76,79,76,74,77
11,1190184,Bournemouth,Watford,08/19/2017 15:00:00,15.0,0.0,10.0,1.0,0-2,1.0,1.0,2.0,3.6,4.0,1.95,3.5,4.0,1.9,3.5,4.1,1.95,3.5,3.8,1.98,3.63,4.16,35,25.0,13,116.1,3.32,37,25.9,27,167.3,4.52,76,75,75,76,78,77,75,77
12,1190185,Burnley,West Brom,08/19/2017 15:00:00,6.0,3.0,8.0,3.0,0-1,1.0,1.0,2.63,3.2,3.0,2.55,3.0,3.1,2.4,3.2,3.05,2.55,3.0,3.0,2.64,3.17,3.07,30,26.8,16,96.85,3.23,33,25.5,17,165.5,5.02,76,77,78,77,79,75,77,76
13,1190187,Leicester,Brighton,08/19/2017 15:00:00,13.0,0.0,17.0,0.0,2-0,1.0,1.0,1.73,3.8,5.5,1.75,3.6,5.0,1.75,3.6,4.8,1.73,3.6,5.0,1.74,3.85,5.43,34,25.5,21,252.1,7.41,39,25.8,26,106.75,2.74,79,79,76,78,74,76,74,75
14,1190188,Liverpool,Crystal Palace,08/19/2017 15:00:00,9.0,1.0,19.0,0.0,1-0,1.0,1.0,1.36,5.25,9.5,1.34,5.25,9.0,1.35,5.3,8.0,1.36,4.8,8.0,1.39,5.24,9.27,35,24.0,21,495.0,14.14,41,24.8,22,194.43,4.74,85,81,80,81,79,76,76,76
15,1190190,Stoke,Arsenal,08/19/2017 17:30:00,16.0,0.0,5.0,3.0,1-0,1.0,1.0,4.5,3.8,1.85,4.5,3.75,1.78,4.8,3.6,1.75,4.2,3.6,1.8,4.39,3.85,1.88,35,25.2,27,177.8,5.08,45,23.8,27,633.9,14.09,75,76,76,76,84,80,81,82
16,1190206,Swansea,Man Utd,08/19/2017 20:30:00,12.0,1.0,1.0,3.0,0-4,1.0,1.0,11.0,5.0,1.36,9.25,4.75,1.36,7.5,4.8,1.4,11.0,4.75,1.33,12.01,5.33,1.33,36,25.3,32,171.34,4.76,35,25.1,22,645.1,18.43,76,75,74,75,85,83,81,83
