,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,327995,Wolfsburg,Stuttgart,08/07/2009 19:30:00,,,,,2-0,0,0,1.95,3.5,3.75,1.95,3.3,3.5,1.95,3.3,3.75,2,3.3,3.6,2,3.4,3.75,31,24.9,19,155.88,5.03,34,24.2,14,125,3.68,83,79,77,78,79,78,76,77
1,327998,Werder Bremen,Eintracht Frankfurt,08/08/2009 14:30:00,,,,,2-3,0,0,1.4,4.5,8,1.4,4.15,7,1.42,4,7.25,1.45,4,7,1.36,4,7,38,23.4,17,134,3.53,36,24.6,20,62,1.72,80,79,78,78,75,72,72,74
2,327999,Hertha Berlin,Hannover,08/08/2009 14:30:00,,,,,1-0,0,0,1.8,3.5,4.5,1.8,3.4,4,1.8,3.4,4.25,1.8,3.4,4.3,1.73,3.4,4,33,24.2,21,76.1,2.31,39,25.1,22,66.88,1.71,77,76,72,74,74,74,72,74
3,328000,Freiburg,Hamburg,08/09/2009 16:30:00,,,,,1-1,0,0,3.6,3.4,2,3.55,3.3,1.95,3.5,3.3,2,3.35,3.3,2.1,3.4,3.25,1.91,32,23.8,20,31.58,0.987,35,24,19,145.93,4.17,71,70,68,69,79,80,76,78
4,328002,Bochum,Borussia M.Gladbach,08/09/2009 14:30:00,0,0,0,0,3-3,0,0,2.2,3.3,3.25,2.15,3.3,3.05,2.15,3.3,3.1,2.1,3.3,3.35,2.1,3.3,2.88,32,25.6,15,44.55,1.39,30,24.5,15,45.8,1.53,75,72,71,72,74,73,71,73
5,328004,Hoffenheim,Bayern,08/08/2009 17:30:00,,,,,1-1,0,0,4.2,3.4,1.91,3.75,3.45,1.85,4,3.4,1.85,3.7,3.4,1.9,3.75,3.3,1.8,33,22.3,16,90.63,2.75,29,25.1,15,283.25,9.77,79,76,77,76,85,83,81,81
6,328007,Hamburg,Borussia Dortmund,08/15/2009 14:30:00,10,1,4,3,4-1,1,1,2.05,3.4,3.6,2,3.3,3.4,2.05,3.3,3.5,2.1,3.3,3.35,2,3.2,3.2,35,24,19,145.93,4.17,34,23,13,80.45,2.37,79,80,76,78,75,79,76,76
7,328009,Schalke,Bochum,08/16/2009 16:30:00,3,3,7,1,3-0,1,1,1.44,4.2,7.5,1.45,3.8,6.8,1.45,4,7.25,1.4,4.3,7.5,1.4,3.75,7,40,23.3,23,113.55,2.84,32,25.6,15,44.55,1.39,79,78,76,77,75,72,71,72
8,328010,Eintracht Frankfurt,Nuernberg,08/15/2009 14:30:00,2,3,15,0,1-1,1,1,2.05,3.4,3.6,2,3.3,3.4,2.05,3.3,3.5,2,3.3,3.6,1.91,3.25,3.4,36,24.6,20,62,1.72,32,23.9,15,42.08,1.31,75,72,72,74,71,70,71,71
9,328012,Hannover,Mainz,08/15/2009 14:30:00,17,0,9,1,1-1,1,1,1.83,3.5,4.33,1.75,3.35,4.35,1.83,3.4,4.2,1.75,3.5,4.6,1.8,3.3,3.75,39,25.1,22,66.88,1.71,41,25,22,40.45,0.987,74,74,72,74,74,71,70,71
