,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,420757,Bayern,Wolfsburg,08/20/2010 19:30:00,0,0,0,0,2-1,0,0,1.57,4,5.5,1.55,3.8,5.8,1.6,3.75,5.5,1.6,3.6,5,1.62,3.75,5.5,31,24.7,17,284.5,9.18,34,24.8,25,210.73,6.2,82,83,78,81,83,77,77,78
1,420759,Borussia M.Gladbach,Nuernberg,08/21/2010 14:30:00,0,0,0,0,1-1,0,0,1.91,3.4,4,1.9,3.3,3.95,1.9,3.4,3.9,2,3.3,3.3,1.91,3.5,4,34,24.8,19,69.3,2.04,32,23.5,14,38.98,1.22,75,74,74,73,70,70,71,71
2,420760,FC Cologne,Kaiserslautern,08/21/2010 14:30:00,0,0,0,0,1-3,0,0,2.1,3.4,3.4,2.15,3.3,3.2,2.15,3.3,3.25,2.1,3.3,3.1,2.1,3.4,3.4,38,24.2,19,62.48,1.64,30,23.9,18,37.23,1.24,78,71,73,73,69,69,69,70
3,420761,Freiburg,St. Pauli,08/21/2010 14:30:00,,,,,1-3,0,0,2.2,3.3,3.25,2.2,3.3,3.1,2.2,3.3,3.1,2.2,3.3,2.9,2.2,3.4,3.2,32,24.3,19,42.8,1.34,30,25.8,3,29.9,0.997,72,70,70,70,71,70,68,70
4,420766,Schalke,Hannover,08/28/2010 14:30:00,12,0,8,3,1-2,1,1,1.33,4.75,10,1.33,4.75,8.5,1.33,4.75,9,1.35,4.5,7.3,1.33,5,9,36,24.2,23,136.65,3.8,28,25.1,14,44.63,1.59,79,79,75,77,75,69,73,72
5,420769,Stuttgart,Borussia Dortmund,08/29/2010 16:30:00,17,0,16,0,1-3,1,1,2.2,3.3,3.25,2.25,3.3,3,2.2,3.2,3.2,2.4,3.2,2.7,2.25,3.3,3.1,33,24.3,17,106.65,3.23,31,23.8,15,114.65,3.7,77,76,76,75,77,77,76,77
6,420770,Wolfsburg,Mainz,08/28/2010 14:30:00,13,0,5,3,3-4,1,1,1.57,4,5.5,1.6,3.8,5.2,1.6,3.75,5.25,1.65,3.5,4.6,1.57,4,5.5,34,24.8,25,210.73,6.2,28,25.9,15,45.55,1.63,83,77,77,78,72,72,71,72
7,420771,Eintracht Frankfurt,Hamburg,08/28/2010 14:30:00,11,0,6,3,1-3,1,1,3.1,3.5,2.2,3.1,3.3,2.2,3.1,3.5,2.15,2.8,3.2,2.3,3.1,3.3,2.25,31,24.2,15,56.6,1.83,30,24.9,20,132.23,4.41,75,75,72,74,79,78,78,78
8,420772,Nuernberg,Freiburg,08/28/2010 14:30:00,9,1,15,0,1-2,1,1,1.91,3.4,4,1.9,3.4,3.8,1.95,3.3,3.8,2,3.3,3.3,1.91,3.4,4,32,23.5,14,38.98,1.22,32,24.3,19,42.8,1.34,70,70,71,71,72,70,70,70
9,420773,Kaiserslautern,Bayern,08/27/2010 19:30:00,2,3,7,3,2-0,1,1,7,4.33,1.44,6.5,4.2,1.45,6.25,4,1.5,5.3,3.9,1.53,7,4,1.5,30,23.9,18,37.23,1.24,31,24.7,17,284.5,9.18,69,69,69,70,82,83,78,81
10,420774,St. Pauli,Hoffenheim,08/28/2010 17:30:00,3,3,1,3,0-1,1,1,3.2,3.4,2.2,3.05,3.35,2.2,3.2,3.4,2.1,2.7,3.3,2.3,3.2,3.4,2.2,30,25.8,3,29.9,0.997,34,22.8,19,98.35,2.89,71,70,68,70,78,75,76,75
11,420775,Bayern,Werder Bremen,09/11/2010 17:30:00,12,3,10,3,0-0,2,2,1.57,4,5.5,1.53,4,5.6,1.55,4,5.5,1.6,3.6,5,1.62,3.75,5.5,31,24.7,17,284.5,9.18,38,24,18,146.55,3.86,82,83,78,81,79,78,78,78
12,420779,Hoffenheim,Schalke,09/10/2010 19:30:00,2,6,15,0,2-0,2,2,2.4,3.3,2.88,2.4,3.3,2.75,2.4,3.3,2.8,2.5,3.3,2.5,2.4,3.4,2.8,34,22.8,19,98.35,2.89,36,24.2,23,136.65,3.8,78,75,76,75,79,79,75,77
13,420780,Borussia M.Gladbach,Eintracht Frankfurt,09/11/2010 14:30:00,6,4,16,0,0-4,2,2,2.1,3.4,3.4,2.1,3.3,3.3,2.1,3.3,3.3,2.1,3.2,3.2,2.1,3.4,3.4,34,24.8,19,69.3,2.04,31,24.2,15,56.6,1.83,75,74,74,73,75,75,72,74
14,420782,Freiburg,Stuttgart,09/11/2010 14:30:00,11,3,18,0,2-1,2,2,3.4,3.4,2.1,3.3,3.3,2.1,3.4,3.25,2.1,2.9,3.3,2.2,3.3,3.3,2.2,32,24.3,19,42.8,1.34,33,24.3,17,106.65,3.23,72,70,70,70,77,76,76,75
15,420784,Bayern,FC Cologne,09/18/2010 14:30:00,11,4,14,3,0-0,3,3,1.22,6,12,1.2,6.25,11.5,1.22,6,11,1.25,5,10,1.22,6,12,31,24.7,17,284.5,9.18,38,24.2,19,62.48,1.64,82,83,78,81,78,71,73,73
16,420785,Schalke,Borussia Dortmund,09/19/2010 16:30:00,17,0,6,6,1-3,3,3,2.25,3.3,3.2,2.2,3.25,3.15,2.25,3.25,3.1,2.2,3.2,3,2.25,3.25,3.25,36,24.2,23,136.65,3.8,31,23.8,15,114.65,3.7,79,79,75,77,77,77,76,77
17,420786,Werder Bremen,Mainz,09/18/2010 14:30:00,10,4,2,9,0-2,3,3,1.44,4.33,7,1.45,4.2,6.5,1.5,4.33,5.5,1.45,4.2,6,1.44,4.33,7,38,24,18,146.55,3.86,28,25.9,15,45.55,1.63,79,78,78,78,72,72,71,72
18,420787,Leverkusen,Nuernberg,09/19/2010 16:30:00,8,4,15,2,0-0,3,3,1.44,4.33,7,1.38,4.6,7.25,1.4,4.33,7.5,1.4,4.1,7,1.36,5,8,30,24.1,12,145.65,4.86,32,23.5,14,38.98,1.22,80,80,77,78,70,70,71,71
19,420788,Stuttgart,Borussia M.Gladbach,09/18/2010 14:30:00,18,0,9,4,7-0,3,3,1.8,3.5,4.5,1.75,3.5,4.5,1.85,3.5,4,1.75,3.5,4.1,1.8,3.5,4.5,33,24.3,17,106.65,3.23,34,24.8,19,69.3,2.04,77,76,76,75,75,74,74,73
20,420790,Eintracht Frankfurt,Freiburg,09/17/2010 19:30:00,12,3,7,6,0-1,3,3,1.8,3.5,4.5,1.7,3.75,4.4,1.8,3.4,4.33,1.85,3.4,3.8,1.8,3.5,4.5,31,24.2,15,56.6,1.83,32,24.3,19,42.8,1.34,75,75,72,74,72,70,70,70
21,420792,St. Pauli,Hamburg,09/19/2010 14:30:00,13,3,3,7,1-1,3,3,3.6,3.5,2,3.5,3.5,1.95,3.5,3.4,2,2.9,3.3,2.2,3.4,3.4,2.1,30,25.8,3,29.9,0.997,30,24.9,20,132.23,4.41,71,70,68,70,79,78,78,78
22,420793,Leverkusen,Eintracht Frankfurt,09/22/2010 19:00:00,8,5,15,3,2-1,4,4,1.67,3.6,5.25,1.6,3.65,5.5,1.65,3.6,5.25,1.6,3.6,5,1.53,4,6,30,24.1,12,145.65,4.86,31,24.2,15,56.6,1.83,80,80,77,78,75,75,72,74
23,420808,FC Cologne,Hoffenheim,09/24/2010 19:30:00,13,4,3,10,1-1,5,5,3.25,3.3,2.2,3.3,3.3,2.1,3.25,3.25,2.15,2.75,3.3,2.3,3.2,3.3,2.25,38,24.2,19,62.48,1.64,34,22.8,19,98.35,2.89,78,71,73,73,78,75,76,75
24,420809,Kaiserslautern,Hannover,09/26/2010 16:30:00,10,7,4,10,0-1,5,5,2.25,3.25,3.2,2.1,3.3,3.3,2.2,3.25,3.2,2.1,3.3,3.1,2.2,3.3,3.3,30,23.9,18,37.23,1.24,28,25.1,14,44.63,1.59,69,69,69,70,75,69,73,72
25,420812,Borussia Dortmund,Bayern,10/03/2010 16:30:00,2,15,9,8,2-0,6,6,2.55,3.3,2.7,2.55,3.35,2.55,2.5,3.4,2.6,2.4,3.3,2.65,2.6,3.4,2.6,31,23.8,15,114.65,3.7,31,24.7,17,284.5,9.18,77,77,76,77,82,83,78,81
26,420814,Hamburg,Kaiserslautern,10/02/2010 14:30:00,8,8,11,7,2-1,6,6,1.5,4,6.75,1.55,3.8,5.8,1.55,3.75,6,1.55,3.7,5.4,1.5,4,7,30,24.9,20,132.23,4.41,30,23.9,18,37.23,1.24,79,78,78,78,69,69,69,70
27,420815,Mainz,Hoffenheim,10/02/2010 14:30:00,1,18,4,11,4-2,6,6,2.2,3.3,3.3,2.15,3.3,3.2,2.25,3.3,3,2.25,3.2,2.9,2.2,3.3,3.3,28,25.9,15,45.55,1.63,34,22.8,19,98.35,2.89,72,72,71,72,78,75,76,75
28,420816,Borussia M.Gladbach,Wolfsburg,10/02/2010 14:30:00,16,5,6,9,1-1,6,6,3.5,3.4,2.05,3.45,3.3,2.05,3.4,3.25,2.1,2.9,3.3,2.2,3.5,3.3,2.1,34,24.8,19,69.3,2.04,34,24.8,25,210.73,6.2,75,74,74,73,83,77,77,78
