,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,614051,Arsenal,Sunderland,08/18/2012 15:00:00,0.0,0.0,0.0,0.0,0-0,0,0,0,1.4,4.5,8.5,1.35,4.6,9.0,1.35,4.6,9.0,1.35,4.5,7.3,1.4,4.5,36,23.8,30,293.75,8.16,31,25.4,18,127.0,4.1,80,79,80,80,75,73,74,75
1,614053,Fulham,Norwich,08/18/2012 15:00:00,,,,,5-0,0,0,0,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.5,4.4,1.8,3.4,4.0,1.8,3.5,33,26.9,29,114.5,3.47,34,25.3,16,70.65,2.08,78,75,75,77,72,73,73,73
2,614054,Man City,Southampton,08/19/2012 16:00:00,,,,,3-2,0,0,0,1.17,7.0,17.0,1.18,6.25,16.0,1.18,6.25,16.0,1.17,5.8,13.0,1.17,7.0,38,24.0,27,510.15,13.43,37,24.3,16,68.85,1.86,85,83,80,82,73,74,71,73
3,614055,Newcastle,Tottenham,08/18/2012 17:30:00,0.0,0.0,0.0,0.0,2-1,0,0,0,2.5,3.4,2.75,2.6,3.3,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.6,3.3,36,24.1,25,190.25,5.28,35,25.1,16,309.53,8.84,81,77,77,77,82,78,79,80
4,614057,Reading,Stoke,08/18/2012 15:00:00,,,,,1-1,0,0,1,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.3,31,25.6,23,44.0,1.42,29,27.6,16,99.1,3.42,72,69,71,71,74,74,75,75
5,614059,West Ham,Aston Villa,08/18/2012 15:00:00,,,,,1-0,0,0,0,2.2,3.3,3.4,2.25,3.3,3.3,2.25,3.3,3.3,2.15,3.3,3.0,2.25,3.3,34,25.1,18,114.45,3.37,31,24.1,19,101.03,3.26,75,74,72,74,74,72,71,75
6,614112,Aston Villa,Everton,08/25/2012 15:00:00,15.0,0.0,7.0,3.0,1-3,1,1,0,2.9,3.4,2.4,2.95,3.3,2.45,2.95,3.3,2.45,2.5,3.2,2.6,2.75,3.3,31,24.1,19,101.03,3.26,26,25.6,18,124.8,4.8,74,72,71,75,74,76,77,76
7,614114,Liverpool,Man City,08/26/2012 16:00:00,18.0,0.0,5.0,3.0,2-2,1,1,0,3.1,3.4,2.3,3.0,3.5,2.35,3.0,3.5,2.35,2.75,3.2,2.35,3.1,3.3,38,22.8,19,275.45,7.25,38,24.0,27,510.15,13.43,76,80,79,79,85,83,80,82
8,614116,Norwich,QPR,08/25/2012 15:00:00,19.0,0.0,20.0,0.0,1-1,1,1,0,2.25,3.4,3.2,2.25,3.3,3.1,2.25,3.3,3.1,2.1,3.2,3.2,2.38,3.4,34,25.3,16,70.65,2.08,33,28.1,18,150.0,4.55,72,73,73,73,77,73,74,75
9,614118,Stoke,Arsenal,08/26/2012 13:30:00,10.0,1.0,11.0,1.0,0-0,1,1,0,3.5,3.4,2.1,3.7,3.3,2.1,3.7,3.3,2.1,3.2,3.2,2.1,3.75,3.3,29,27.6,16,99.1,3.42,36,23.8,30,293.75,8.16,74,74,75,75,80,79,80,80
10,614124,Liverpool,Arsenal,09/02/2012 13:30:00,15.0,1.0,12.0,2.0,0-2,2,2,0,2.0,3.5,3.75,2.05,3.4,3.75,2.05,3.4,3.75,2.1,3.2,3.2,2.1,3.2,38,22.8,19,275.45,7.25,36,23.8,30,293.75,8.16,76,80,79,79,80,79,80,80
11,614125,Man City,QPR,09/01/2012 17:30:00,5.0,4.0,18.0,1.0,3-1,2,2,0,1.18,7.0,15.0,1.18,6.5,14.5,,,,1.2,5.5,12.0,1.2,6.5,38,24.0,27,510.15,13.43,33,28.1,18,150.0,4.55,85,83,80,82,77,73,74,75
12,614126,Newcastle,Aston Villa,09/02/2012 16:00:00,10.0,3.0,20.0,0.0,1-1,2,2,0,1.62,3.75,6.0,1.6,3.9,5.25,1.6,3.9,5.25,1.6,3.6,5.0,1.62,3.75,36,24.1,25,190.25,5.28,31,24.1,19,101.03,3.26,81,77,77,77,74,72,71,75
13,614128,Swansea,Sunderland,09/01/2012 15:00:00,2.0,6.0,13.0,1.0,2-2,2,1,0,2.2,3.3,3.4,2.2,3.2,3.3,2.2,3.2,3.3,2.2,3.2,3.0,2.2,3.3,29,25.9,25,88.0,3.03,31,25.4,18,127.0,4.1,74,73,73,74,75,73,74,75
14,614133,Newcastle,Arsenal,05/19/2013 16:00:00,13.0,41.0,4.0,70.0,0-1,37,37,0,6.0,4.6,1.55,6.0,4.33,1.48,6.0,4.33,1.48,6.5,4.2,1.45,5.5,4.0,36,24.1,25,190.25,5.28,36,23.8,30,293.75,8.16,81,77,77,77,80,79,80,80
15,614134,Southampton,Stoke,05/19/2013 16:00:00,14.0,40.0,11.0,41.0,1-1,37,37,0,1.75,3.8,5.25,1.75,3.5,4.75,1.75,3.5,4.75,1.8,3.4,4.3,1.8,3.5,37,24.3,16,68.85,1.86,29,27.6,16,99.1,3.42,73,74,71,73,74,74,75,75
16,614136,Tottenham,Sunderland,05/19/2013 16:00:00,5.0,69.0,17.0,39.0,1-0,37,37,1,1.29,6.0,12.0,1.22,6.0,12.0,1.22,6.0,12.0,1.27,5.2,10.0,1.3,5.0,35,25.1,16,309.53,8.84,31,25.4,18,127.0,4.1,82,78,79,80,75,73,74,75
