,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,985461,Rayo Vallecano,Valencia,08/22/2015 21:30:00,0,0,0,0,0-0,0,0,3.6,3.5,2.05,3.5,3.4,2.05,3.6,3.3,2.0,3.6,3.6,2.0,3.72,3.77,2.06,35,27.0,14,53.8,1.54,38,22.7,20,254.5,6.7,75,75,74,75,79,80,79,80
1,985459,Sporting Gijon,Real Madrid,08/23/2015 19:30:00,0,0,0,0,0-0,0,0,13.0,6.5,1.22,10.0,6.5,1.22,12.5,6.0,1.2,13.0,6.5,1.22,12.98,6.6,1.26,29,23.8,7,30.5,1.05,30,23.8,17,700.5,23.35,73,74,73,73,86,86,83,84
2,985468,Villarreal,Espanyol,08/28/2015 19:30:00,7,1,4,3,3-1,1,1,1.57,3.8,6.5,1.62,3.75,6.0,1.6,3.7,5.4,1.53,4.0,7.0,1.6,4.09,6.69,28,24.4,10,115.3,4.12,33,24.1,9,61.7,1.87,79,79,79,79,76,75,74,75
3,985471,Valencia,Deportivo,08/30/2015 19:30:00,14,1,8,1,1-1,1,1,1.44,4.33,8.0,1.44,4.0,7.75,1.45,4.0,7.0,1.44,4.33,7.5,1.4,4.86,10.04,38,22.7,20,254.5,6.7,30,27.4,11,51.35,1.71,79,80,79,80,79,74,74,75
4,985463,Las Palmas,Levante,08/30/2015 21:30:00,19,0,16,0,0-0,1,1,1.91,3.3,4.5,1.91,3.25,4.2,2.0,3.3,3.6,1.95,3.3,4.0,1.92,3.47,4.75,33,26.2,7,29.25,0.886,31,26.3,10,68.2,2.2,73,71,70,72,76,75,73,75
5,985473,Levante,Sevilla,09/11/2015 19:30:00,13,1,16,1,1-1,2,2,4.75,3.75,1.75,4.5,3.8,1.8,4.0,3.45,1.85,4.75,3.6,1.8,4.83,3.82,1.81,31,26.3,10,68.2,2.2,38,24.8,19,186.5,4.91,76,75,73,75,79,80,80,79
6,985480,Sporting Gijon,Valencia,09/12/2015 17:15:00,12,2,11,2,0-1,2,2,3.4,3.2,2.25,3.3,3.2,2.3,2.75,3.3,2.4,3.4,3.2,2.25,3.39,3.42,2.31,29,23.8,7,30.5,1.05,38,22.7,20,254.5,6.7,73,74,73,73,79,80,79,80
7,985474,Atletico,Barcelona,09/12/2015 19:30:00,2,6,3,6,1-2,2,2,3.3,3.2,2.3,3.3,3.3,2.3,3.0,3.2,2.3,3.4,3.4,2.2,3.41,3.4,2.31,30,24.4,17,336.0,11.2,32,24.9,15,618.5,19.33,81,80,81,81,91,85,82,84
8,985475,Malaga,Eibar,09/13/2015 19:30:00,14,1,4,6,0-0,2,2,1.75,3.5,5.25,1.8,3.4,4.5,1.8,3.5,4.2,1.75,3.6,5.0,1.81,3.65,5.2,33,26.0,23,78.2,2.37,35,24.8,9,45.95,1.31,75,76,75,76,74,73,72,73
9,985523,Valencia,Real Betis,09/19/2015 17:15:00,8,5,9,4,0-0,3,3,1.5,4.33,6.5,1.5,4.4,6.75,1.5,4.0,6.1,1.53,4.0,6.5,1.52,4.59,7.02,38,22.7,20,254.5,6.7,33,25.9,14,72.45,2.2,79,80,79,80,77,75,75,76
