,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,347287,Bologna,Fiorentina,08/22/2009 17:00:00,,,,,1-1,0,0,3.3,3.25,2.2,3.2,3,2.25,3.4,3.1,2.15,3.1,3.1,2.3,2.88,3,2.25,38,26.5,9,64.8,1.71,46,23,22,201.8,4.39,77,72,71,72,84,79,76,78
1,347288,Catania,Sampdoria,08/23/2009 19:45:00,,,,,1-2,0,0,2.5,3.2,2.88,2.4,3,2.85,2.5,3.1,2.8,2.35,3.05,3.05,2.38,3.2,2.6,36,24.6,15,52.1,1.45,37,24.1,6,94.53,2.55,76,75,74,74,84,77,75,76
2,347289,Genoa,Roma,08/23/2009 19:45:00,,,,,3-2,0,0,2.4,3.2,3,2.5,3,2.7,2.4,3.2,2.9,2.5,3.1,2.8,2.5,3,2.6,47,23.2,17,126.9,2.7,45,24.3,20,276.15,6.14,81,76,76,77,82,80,80,80
3,347290,Inter,Bari,08/23/2009 17:00:00,,,,,1-1,0,0,1.2,6,15,1.2,5.5,12,1.22,5.75,12,1.2,5.5,14,1.2,5,11,47,23.9,31,372.8,7.93,43,25.5,14,42.83,0.996,85,82,85,83,72,71,69,71
4,347291,Juventus,Chievo,08/23/2009 19:45:00,,,,,1-0,0,0,1.29,5.25,11,1.3,4.55,8.75,1.3,5,9,1.25,5,12,1.3,4.2,9,44,24.6,14,289.8,6.59,39,25.7,13,38.3,0.982,85,81,81,82,72,72,72,72
5,347292,Lazio,Atalanta,08/23/2009 19:45:00,,,,,1-0,0,0,1.83,3.4,4.5,1.8,3.2,4.3,1.8,3.3,4.5,1.75,3.4,4.8,1.83,3,4,62,23.8,23,142,2.29,39,25.1,13,68.93,1.77,82,74,74,77,77,76,73,75
6,347295,Livorno,Cagliari,08/23/2009 19:45:00,,,,,0-0,0,0,2.38,3.1,3.2,2.25,2.9,3.2,2.3,3.1,3.1,2.4,3,3.05,2.2,3,3,40,24.7,10,50.48,1.26,35,23.3,7,44.03,1.26,77,72,70,71,77,76,72,74
7,347298,Palermo,Napoli,08/23/2009 19:45:00,,,,,2-1,0,0,2.15,3.25,3.5,2.15,3,3.3,2.1,3.2,3.5,2,3.2,3.8,2.2,3.2,2.8,41,23.3,16,91.4,2.23,34,25.7,12,130.4,3.84,79,76,75,76,82,78,75,77
8,347300,Robur Siena,AC Milan,08/22/2009 19:45:00,,,,,1-2,0,0,3.75,3.25,2.05,4.15,3.15,1.85,3.75,3.2,2,3.7,3.2,2,3.75,3,1.91,40,24.3,18,44.55,1.11,41,25.9,16,291.7,7.11,70,74,71,71,83,83,80,81
9,347302,Udinese,Parma,08/23/2009 19:45:00,,,,,2-2,0,0,1.8,3.4,4.75,1.7,3.3,4.7,1.8,3.3,4.5,1.75,3.4,4.8,1.73,3.2,4.33,49,22.5,30,118.45,2.42,50,23.7,14,77.15,1.54,77,80,76,77,74,70,73,73
