,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,443469,Bologna,Inter,08/30/2010 19:45:00,,,,,0-0,0,0,6.25,3.5,1.62,6.1,3.4,1.6,6,3.5,1.6,5,3.6,1.6,5.5,3.25,1.57,38,23.4,14,47.18,1.24,44,24.6,27,390.15,8.87,78,71,69,70,86,82,84,82
1,443470,Bari,Juventus,08/29/2010 17:00:00,0,0,0,0,1-0,0,0,4.33,3.25,1.91,3.8,3.3,1.95,3.8,3.3,1.95,3.2,3.2,2.1,3.6,3.1,1.91,46,24.2,15,63.45,1.38,51,24.5,15,332.43,6.52,76,74,71,73,79,80,78,79
2,443471,Udinese,Genoa,08/28/2010 17:00:00,,,,,0-1,0,0,2.4,3.1,3.1,2.3,3.1,3.1,2.35,3.1,3,2.4,3.1,2.8,2.25,3,2.88,40,23.2,23,112.55,2.81,45,23.8,22,168.7,3.75,79,74,73,74,77,77,76,77
3,443472,Sampdoria,Lazio,08/29/2010 19:45:00,,,,,2-0,0,0,2.1,3.1,3.75,2.1,3.1,3.5,2.1,3.2,3.5,2.1,3.1,3.3,2,3,3.5,46,23,14,129.15,2.81,44,25.6,22,116.25,2.64,83,77,75,76,78,75,75,75
4,443473,Roma,Cesena,08/28/2010 19:45:00,,,,,0-0,0,0,1.29,4.75,13,1.3,4.75,10,1.3,5,9,1.25,5,10,1.2,5,11,43,25.2,22,257,5.98,45,24.9,22,64.9,1.44,81,80,80,79,72,70,67,70
5,443474,Parma,Brescia,08/29/2010 19:45:00,,,,,2-0,0,0,1.83,3.25,4.75,1.8,3.2,4.65,1.8,3.3,4.5,1.8,3.4,4,1.67,3.3,4.5,43,24.2,13,103.43,2.41,43,24.7,19,49.1,1.14,76,74,73,74,72,68,69,69
6,443475,Palermo,Cagliari,08/29/2010 19:45:00,0,0,0,0,0-0,0,0,1.73,3.25,5.5,1.75,3.27,4.85,1.75,3.4,4.75,1.7,3.4,4.5,1.67,3.3,4.5,45,22.7,17,87.8,1.95,37,26.3,6,74.13,2,80,75,76,76,75,75,72,73
7,443477,Fiorentina,Napoli,08/29/2010 19:45:00,,,,,1-1,0,0,2.3,3.1,3.3,2.3,3.1,3.1,2.3,3.1,3.1,2.2,3.1,3.1,2.2,3,3,42,23.4,22,207.73,4.95,31,26.8,10,142.5,4.6,79,79,75,77,81,76,76,76
8,443478,Chievo,Catania,08/29/2010 19:45:00,,,,,2-1,0,0,2.2,3.1,3.5,2.15,2.9,3.7,2.15,3,3.6,2.1,3,3.4,2.1,3,3.2,43,25.7,21,55.2,1.28,35,25.3,17,68.7,1.96,72,73,72,72,77,73,71,72
9,443479,Napoli,Bari,09/12/2010 19:45:00,8,1,5,3,2-2,1,1,1.73,3.4,5.25,1.7,3.3,5.2,1.7,3.4,5,1.7,3.5,4.4,1.67,3.5,5.5,31,26.8,10,142.5,4.6,46,24.2,15,63.45,1.38,81,76,76,76,76,74,71,73
