,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,829515,Leicester,Everton,08/16/2014 15:00:00,,,,,2-2,0,0,3.2,3.4,2.4,2.9,3.2,2.4,3.25,3.4,2.25,3.14,3.38,2.46,3.1,3.1,2.4,37,25.9,18,55.85,1.51,40,24.3,19,177.5,4.44,71,72,68.0,72.0,78,78,78.0,78.0
1,829519,QPR,Hull,08/16/2014 15:00:00,,,,,0-1,0,0,2.5,3.3,3.1,2.5,3.1,2.85,2.4,3.25,3.1,2.48,3.26,3.22,2.6,3.0,2.9,41,25.1,24,115.05,2.81,35,26.1,24,122.25,3.49,74,74,71.0,75.0,75,73,70.0,73.0
2,829520,Stoke,Aston Villa,08/16/2014 15:00:00,,,,,0-1,0,0,1.95,3.5,4.5,1.95,3.3,3.9,1.95,3.4,4.2,1.95,3.47,4.55,1.95,3.2,4.2,30,26.4,23,128.85,4.3,38,24.3,20,127.0,3.34,76,75,74.0,76.0,72,74,74.0,75.0
3,829521,West Brom,Sunderland,08/16/2014 15:00:00,,,,,2-2,0,0,2.25,3.4,3.5,2.3,3.25,3.1,2.3,3.3,3.3,2.21,3.34,3.73,2.3,3.1,3.3,34,25.5,22,100.6,2.96,34,24.8,20,115.25,3.39,74,74,71.0,74.0,76,73,72.0,74.0
4,829522,West Ham,Tottenham,08/16/2014 15:00:00,,,,,0-1,0,0,3.8,3.6,2.05,3.5,3.4,2.05,3.6,3.4,2.1,3.96,3.55,2.06,3.75,3.3,2.05,36,24.8,21,123.0,3.42,42,23.7,25,298.25,7.1,75,74,72.0,75.0,78,77,77.0,78.0
5,829513,Arsenal,Crystal Palace,08/16/2014 17:30:00,,,,,2-1,0,0,1.25,6.5,15.0,1.25,5.5,12.0,1.25,6.0,13.0,1.26,6.45,14.01,1.25,5.5,12.0,42,23.0,29,404.35,9.63,42,26.0,25,89.3,2.13,80,80,77.0,80.0,73,73,73.0,73.0
6,829516,Liverpool,Southampton,08/17/2014 13:30:00,,,,,2-1,0,0,1.33,5.75,10.0,1.36,4.5,8.75,1.36,5.0,9.0,1.35,5.48,10.3,1.36,4.5,9.0,35,23.4,21,285.0,8.14,37,23.5,20,150.4,4.06,79,78,75.0,79.0,77,75,76.0,76.0
7,829518,Newcastle,Man City,08/17/2014 16:00:00,,,,,0-2,0,0,5.25,4.33,1.67,4.75,3.8,1.67,5.0,4.2,1.66,5.8,4.28,1.63,5.0,3.75,1.67,42,22.9,26,139.85,3.33,36,25.4,29,478.0,13.28,74,75,74.0,75.0,83,82,81.0,82.0
8,829514,Burnley,Chelsea,08/18/2014 20:00:00,,,,,1-3,0,0,9.0,5.0,1.4,7.5,4.6,1.4,9.0,4.8,1.4,9.77,4.81,1.41,9.0,4.2,1.4,30,25.5,13,36.75,1.23,38,23.9,28,526.1,13.84,71,70,71.0,70.0,82,82,81.0,83.0
9,829523,Aston Villa,Newcastle,08/23/2014 12:45:00,6.0,3.0,20.0,0.0,0-0,1,1,2.5,3.4,3.0,2.6,3.25,2.9,2.5,3.3,2.87,2.56,3.36,3.01,2.45,3.25,2.9,38,24.3,20,127.0,3.34,42,22.9,26,139.85,3.33,72,74,74.0,75.0,74,75,74.0,75.0
10,829524,Chelsea,Leicester,08/23/2014 15:00:00,1.0,3.0,10.0,1.0,2-0,1,1,1.2,7.5,17.0,1.25,6.25,12.5,1.22,6.0,13.0,1.21,7.28,17.7,1.22,5.5,15.0,38,23.9,28,526.1,13.84,37,25.9,18,55.85,1.51,82,82,81.0,83.0,71,72,68.0,72.0
11,829525,Crystal Palace,West Ham,08/23/2014 15:00:00,13.0,0.0,18.0,0.0,1-3,1,1,2.5,3.3,3.1,2.5,3.0,2.95,2.5,3.1,3.0,2.44,3.25,3.3,2.5,3.2,2.8,42,26.0,25,89.3,2.13,36,24.8,21,123.0,3.42,73,73,73.0,73.0,75,74,72.0,75.0
12,829529,Southampton,West Brom,08/23/2014 15:00:00,15.0,0.0,12.0,1.0,0-0,1,1,1.85,3.7,4.75,1.87,3.75,4.2,1.85,3.5,4.33,1.86,3.76,4.62,1.91,3.2,4.5,37,23.5,20,150.4,4.06,34,25.5,22,100.6,2.96,77,75,76.0,76.0,74,74,71.0,74.0
13,829531,Swansea,Burnley,08/23/2014 15:00:00,5.0,3.0,19.0,0.0,1-0,1,1,1.65,4.0,6.0,1.7,3.6,5.75,1.66,3.75,5.0,1.64,4.13,5.98,1.67,3.4,6.0,36,24.3,30,107.7,2.99,30,25.5,13,36.75,1.23,77,74,74.0,75.0,71,70,71.0,70.0
14,829526,Everton,Arsenal,08/23/2014 17:30:00,9.0,1.0,3.0,3.0,2-2,1,1,2.8,3.4,2.7,2.75,3.25,2.7,2.75,3.25,2.7,2.72,3.45,2.76,2.7,3.1,2.7,40,24.3,19,177.5,4.44,42,23.0,29,404.35,9.63,78,78,78.0,78.0,80,80,77.0,80.0
15,829527,Hull,Stoke,08/24/2014 13:30:00,7.0,3.0,17.0,0.0,1-1,1,1,2.5,3.25,3.2,2.55,3.2,2.95,2.4,3.2,3.2,2.48,3.18,3.31,2.5,3.2,2.8,35,26.1,24,122.25,3.49,30,26.4,23,128.85,4.3,75,73,70.0,73.0,76,75,74.0,76.0
16,829532,Tottenham,QPR,08/24/2014 13:30:00,8.0,3.0,16.0,0.0,4-0,1,1,1.45,4.75,8.0,1.48,4.25,7.75,1.44,4.33,7.5,1.49,4.64,7.5,1.5,4.0,7.0,42,23.7,25,298.25,7.1,41,25.1,24,115.05,2.81,78,77,77.0,78.0,74,74,71.0,75.0
17,829528,Man City,Liverpool,08/25/2014 20:00:00,2.0,3.0,4.0,3.0,3-1,1,1,1.85,4.0,4.33,1.87,3.9,4.0,1.85,3.75,4.2,1.83,4.05,4.43,1.85,3.4,4.33,36,25.4,29,478.0,13.28,35,23.4,21,285.0,8.14,83,82,81.0,82.0,79,78,75.0,79.0
18,829537,Man City,Stoke,08/30/2014 15:00:00,3.0,6.0,15.0,1.0,0-1,2,2,1.18,8.0,18.0,1.18,6.5,14.5,1.18,7.5,17.0,1.2,7.8,17.95,1.2,5.5,21.0,36,25.4,29,478.0,13.28,30,26.4,23,128.85,4.3,83,82,81.0,82.0,76,75,74.0,76.0
19,829538,Newcastle,Crystal Palace,08/30/2014 15:00:00,17.0,1.0,18.0,0.0,3-3,2,2,1.75,3.75,5.25,1.75,3.5,4.75,1.75,3.6,5.0,1.74,3.78,5.58,1.75,3.2,5.5,42,22.9,26,139.85,3.33,42,26.0,25,89.3,2.13,74,75,74.0,75.0,73,73,73.0,73.0
20,829539,QPR,Sunderland,08/30/2014 15:00:00,20.0,0.0,11.0,2.0,1-0,2,2,2.4,3.25,3.3,2.45,3.2,2.85,2.5,3.25,3.0,2.43,3.23,3.35,2.5,2.9,3.1,41,25.1,24,115.05,2.81,34,24.8,20,115.25,3.39,74,74,71.0,75.0,76,73,72.0,74.0
21,829540,Swansea,West Brom,08/30/2014 15:00:00,4.0,6.0,12.0,2.0,3-0,2,2,1.85,3.6,4.75,1.85,3.4,4.2,1.85,3.6,4.5,1.88,3.66,4.67,1.91,3.1,4.5,36,24.3,30,107.7,2.99,34,25.5,22,100.6,2.96,77,74,74.0,75.0,74,74,71.0,74.0
22,829542,West Ham,Southampton,08/30/2014 15:00:00,8.0,3.0,14.0,1.0,1-3,2,2,2.8,3.4,2.7,2.6,3.2,2.7,2.75,3.25,2.75,2.8,3.43,2.69,2.9,2.8,2.75,36,24.8,21,123.0,3.42,37,23.5,20,150.4,4.06,75,74,72.0,75.0,77,75,76.0,76.0
23,829535,Everton,Chelsea,08/30/2014 17:30:00,10.0,2.0,2.0,6.0,3-6,2,2,3.75,3.3,2.2,3.5,3.3,2.2,3.5,3.4,2.2,3.79,3.33,2.19,3.6,2.88,2.25,40,24.3,19,177.5,4.44,38,23.9,28,526.1,13.84,78,78,78.0,78.0,82,82,81.0,83.0
24,829533,Aston Villa,Hull,08/31/2014 13:30:00,7.0,4.0,6.0,4.0,2-1,2,2,2.3,3.3,3.5,2.35,3.1,3.1,2.25,3.2,3.6,2.33,3.16,3.63,2.38,2.88,3.4,38,24.3,20,127.0,3.34,35,26.1,24,122.25,3.49,72,74,74.0,75.0,75,73,70.0,73.0
25,829541,Tottenham,Liverpool,08/31/2014 13:30:00,1.0,6.0,9.0,3.0,0-3,2,2,2.7,3.5,2.7,2.7,3.2,2.7,2.7,3.4,2.7,2.69,3.48,2.77,2.7,3.0,2.8,42,23.7,25,298.25,7.1,35,23.4,21,285.0,8.14,78,77,77.0,78.0,79,78,75.0,79.0
26,829536,Leicester,Arsenal,08/31/2014 16:00:00,16.0,1.0,5.0,4.0,1-1,2,2,4.75,3.75,1.83,4.33,3.4,1.83,4.5,3.75,1.83,4.54,3.8,1.87,4.8,3.0,1.91,37,25.9,18,55.85,1.51,42,23.0,29,404.35,9.63,71,72,68.0,72.0,80,80,77.0,80.0
27,829543,Arsenal,Man City,09/13/2014 12:45:00,7.0,5.0,4.0,6.0,2-2,3,3,3.0,3.4,2.5,2.85,3.5,2.5,2.87,3.5,2.5,3.03,3.48,2.48,3.0,3.0,2.5,42,23.0,29,404.35,9.63,36,25.4,29,478.0,13.28,80,80,77.0,80.0,83,82,81.0,82.0
